Индекс,Исходное,Норм. вручную,Норм. sklearn,Разница,Масшт. вручную,Масшт. sklearn,Разница
282,1172.000000,0.072346,0.072346,0.000000,0.858585,0.858585,0.000000
283,424.000000,0.026173,0.026173,0.000000,-0.093987,-0.093987,0.000000
284,290.000000,0.017901,0.017901,0.000000,-0.264635,-0.264635,0.000000
285,610.000000,0.037654,0.037654,0.000000,0.142883,0.142883,0.000000
286,308.000000,0.019012,0.019012,0.000000,-0.241712,-0.241712,0.000000
287,800.000000,0.049383,0.049383,0.000000,0.384846,0.384846,0.000000
288,430.000000,0.026543,0.026543,0.000000,-0.086346,-0.086346,0.000000
289,227.000000,0.014012,0.014012,0.000000,-0.344865,-0.344865,0.000000
290,300.000000,0.018519,0.018519,0.000000,-0.251900,-0.251900,0.000000
291,1025.000000,0.063272,0.063272,0.000000,0.671382,0.671382,0.000000
292,813.000000,0.050185,0.050185,0.000000,0.401402,0.401402,0.000000
293,270.000000,0.016667,0.016667,0.000000,-0.290105,-0.290105,0.000000
294,268.000000,0.016543,0.016543,0.000000,-0.292652,-0.292652,0.000000
295,153.000000,0.009444,0.009444,0.000000,-0.439103,-0.439103,0.000000
296,1687.000000,0.104136,0.104136,0.000000,1.514434,1.514434,0.000000
297,112.000000,0.006914,0.006914,0.000000,-0.491316,-0.491316,0.000000
298,570.000000,0.035185,0.035185,0.000000,0.091943,0.091943,0.000000
299,352.000000,0.021728,0.021728,0.000000,-0.185678,-0.185678,0.000000
300,36.000000,0.002222,0.002222,0.000000,-0.588102,-0.588102,0.000000
301,1142.000000,0.070494,0.070494,0.000000,0.820380,0.820380,0.000000
302,1400.000000,0.086420,0.086420,0.000000,1.148941,1.148941,0.000000
303,107.000000,0.006605,0.006605,0.000000,-0.497684,-0.497684,0.000000
304,327.000000,0.020185,0.020185,0.000000,-0.217516,-0.217516,0.000000
305,246.000000,0.015185,0.015185,0.000000,-0.320668,-0.320668,0.000000
306,223.000000,0.013765,0.013765,0.000000,-0.349959,-0.349959,0.000000
307,158.000000,0.009753,0.009753,0.000000,-0.432736,-0.432736,0.000000
308,168.000000,0.010370,0.010370,0.000000,-0.420001,-0.420001,0.000000
309,504.000000,0.031111,0.031111,0.000000,0.007893,0.007893,0.000000
310,930.000000,0.057407,0.057407,0.000000,0.550400,0.550400,0.000000
311,286.000000,0.017654,0.017654,0.000000,-0.269729,-0.269729,0.000000
